Date,Open,High,Low,Close,Adj Close,Volume
18/04/2001,42.560001,43.400002,41.299999,3,42,12800
19/04/2001,43.259998,44.66,42,3.15,44.099998,12800
20/04/2001,44.939999,51.240002,44.52,3.65,51.099998,17000
23/04/2001,52.5,56.560001,50.400002,3.84,53.759998,25800
24/04/2001,55.720001,56.419998,47.040001,3.71,51.939999,18600
25/04/2001,52.919998,53.200001,47.599998,3.46,48.439999,10500
26/04/2001,48.299999,52.5,45.639999,3.57,49.98,9700
27/04/2001,52.639999,52.639999,45.779999,3.28,45.919998,11600
30/04/2001,45.639999,47.599998,42.139999,3.03,42.419998,27900
01/05/2001,44.099998,44.099998,40.599998,2.95,41.299999,45900
02/05/2001,42.279999,43.400002,40.599998,2.93,41.02,67300
03/05/2001,41.439999,41.439999,38.919998,2.8,39.200001,32100
04/05/2001,40.040001,40.18,35,2.81,39.34,37100
07/05/2001,41.299999,43.400002,38.639999,3,42,61000
08/05/2001,44.939999,45.220001,39.48,2.85,39.900002,47800
09/05/2001,38.5,41.580002,37.52,2.86,40.040001,71000
10/05/2001,42,42.279999,35.700001,2.65,37.099998,46500
11/05/2001,37.66,37.799999,35.139999,2.55,35.700001,20700
14/05/2001,35.279999,36.119999,32.619999,2.34,32.759998,19700
15/05/2001,33.18,35,31.5,2.38,33.32,14400
16/05/2001,33.18,34.580002,30.52,2.47,34.580002,27400
17/05/2001,35,44.099998,34.299999,3.12,43.68,140800
18/05/2001,42.98,55.02,39.200001,3.27,45.779999,342200
21/05/2001,49.700001,55.720001,47.040001,3.95,55.299999,230000
22/05/2001,57.82,58.799999,49.700001,3.59,50.259998,135200
23/05/2001,49.279999,49.98,44.799999,3.33,46.619999,51500
24/05/2001,45.639999,51.799999,45.080002,3.61,50.540001,46200
25/05/2001,51.66,55.16,49.139999,3.86,54.040001,46500
29/05/2001,54.32,55.580002,44.939999,3.31,46.34,42700
30/05/2001,45.639999,49.700001,44.099998,3.23,45.220001,25800
31/05/2001,46.619999,48.299999,45.5,3.34,46.759998,22700
01/06/2001,48.860001,50.259998,46.900002,3.37,47.18,33100
04/06/2001,48.439999,48.439999,44.799999,3.3,46.200001,19200
05/06/2001,46.48,46.48,42.139999,3.09,43.259998,21700
06/06/2001,44.240002,44.66,43.119999,3.12,43.68,22400
07/06/2001,44.52,44.52,40.740002,3.05,42.700001,20300
08/06/2001,42.279999,42.700001,40.599998,3,42,10900
11/06/2001,42,49,38.5,3.3,46.200001,34000
12/06/2001,46.060001,47.599998,42.279999,3.06,42.84,33100
13/06/2001,44.380001,44.52,37.939999,2.79,39.060001,20600
14/06/2001,39.200001,39.759998,36.540001,2.62,36.68,12800
15/06/2001,37.380001,38.5,35.419998,2.62,36.68,18200
18/06/2001,37.66,37.66,33.599998,2.42,33.880001,13100
19/06/2001,34.580002,35.98,32.619999,2.33,32.619999,15700
20/06/2001,33.040001,33.18,31.5,2.3,32.200001,20500
21/06/2001,32.900002,35,32.34,2.46,34.439999,11400
22/06/2001,35,36.400002,34.439999,2.55,35.700001,14900
25/06/2001,35,38.5,35,2.7,37.799999,20700
26/06/2001,38.360001,38.5,35.139999,2.55,35.700001,12900
